index,name,hebrew,inherited_hebrew,corpus_layer,object_class,attestation_status,representative_source,source_url,source_form,recommended_action,scope,hebrew_letters,computed_standard,claimed_standard,standard_match,computed_mispar_gadol,claimed_mispar_gadol,mispar_gadol_match,base12_standard,base12_mispar_gadol,base12_claim_basis,claimed_base12,base12_match,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base10_palindrome,mispar_base10_palindrome,standard_base12_palindrome,mispar_base12_palindrome,claimed_cluster,computed_domains,review_flags
5,Adonai,אדני,אדני,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 15:2,https://www.sefaria.org/Genesis.15.2?lang=bi,אדני,retain,literal-heading,אדני,65,65,yes,65,715,no,55,55,mispar-gadol,4B7,no,11,11,10,10,no,no,yes,yes,Base12 palindrome cluster.,standard-base12-palindrome; mispar-base12-palindrome,mispar-gadol-claim-mismatch; base12-claim-mismatch
8,El Elyon,אל עליון,אל עליון,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 14:22,https://www.sefaria.org/Genesis.14.22?lang=bi,אל עליון,retain,literal-heading,אלעליון,197,228,no,847,847,yes,145,5A7,mispar-gadol,5A7,yes,8,10,10,4,no,no,no,no,8-collapse (from standard 197 → 1+9+7=17→8),standard-collapse-8,standard-claim-mismatch
13,Shekhinah,שכינה,שכינה,later-traditional,rabbinic-theological-term,later-exact-use,Pirkei Avot 3:6,https://www.sefaria.org/Pirkei_Avot.3.6?lang=bi,שכינה,separate-layer,literal-heading,שכינה,385,385,yes,385,385,yes,281,281,mispar-gadol,281,yes,7,7,11,11,no,no,no,no,12-collapse (from 385 → 3+8+5=16 → 7? No. But from 281_12 → 2+8+1=11? Also no.; But Shekhinah is canonically assigned to the 12-cluster because of its thematic alignment and its role in the 22-scroll system.),,claimed-12-collapse-without-computed-12
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,הקדוש ברוך הוא,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Pirkei Avot 3:2,https://www.sefaria.org/Pirkei_Avot.3.2?lang=bi,הקדוש ברוך הוא,separate-layer,literal-heading,הקדושברוךהוא,655,650,no,1135,1135,yes,467,7A7,mispar-gadol,7A7,yes,7,10,8,6,no,no,no,yes,Base12 palindrome cluster.,standard-base12-collapse-8; mispar-base12-palindrome,standard-claim-mismatch
17,Ribbono Shel Olam,רבונו של עולם,ריבונו של עולם,later-traditional,rabbinic-address-formula,normalized-later-form,Menachot 29b:5,https://www.sefaria.org/Menachot.29b.5?lang=bi,רבונו של עולם,correct-and-separate,literal-heading,רבונושלעולם,740,744,no,1300,1960,no,518,904,mispar-gadol,1174,no,11,4,5,4,no,no,no,no,12-collapse (thematically),,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-12-collapse-without-computed-12
21,Sar Shalom,שר שלום,שר שלום,messianic-comparative,biblical-royal-title,exact-royal-title,Isaiah 9:5,https://www.sefaria.org/Isaiah.9.5?lang=bi,שר שלום,separate-layer,literal-heading,שרשלום,876,876,yes,1436,1446,no,610,9B8,mispar-gadol,A06,no,3,5,7,10,no,no,no,no,Neutral.,,mispar-gadol-claim-mismatch; base12-claim-mismatch
23,Elohei HaShamayim,אלהי השמים,אלוהי השמים,primary-biblical,biblical-divine-title,normalized-biblical-form,Genesis 24:7,https://www.sefaria.org/Genesis.24.7?lang=bi,אלהי השמים,correct-orthography,literal-heading,אלהיהשמים,441,447,no,1001,1007,no,309,6B5,mispar-gadol,6BB,no,9,2,12,4,no,yes,no,no,8-collapse.,mispar-base10-palindrome; standard-base12-collapse-12,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8
24,Elohei HaAretz,אלהי הארץ,אלוהי הארץ,primary-biblical,biblical-divine-title,normalized-biblical-form,Genesis 24:3,https://www.sefaria.org/Genesis.24.3?lang=bi,אלהי הארץ,correct-orthography,literal-heading,אלהיהארץ,342,348,no,1152,1048,no,246,800,mispar-gadol,734,no,9,9,12,8,no,no,no,no,Neutral.,standard-base12-collapse-12; mispar-base12-collapse-8,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch
27,El De’ot,אל דעות,אל דעות,primary-biblical,biblical-divine-title,exact-divine-use,I Samuel 2:3,https://www.sefaria.org/I_Samuel.2.3?lang=bi,אל דעות,retain,literal-heading,אלדעות,511,511,yes,511,1411,no,367,367,mispar-gadol,997,no,7,7,7,7,no,no,no,no,Neutral.,,mispar-gadol-claim-mismatch; base12-claim-mismatch
29,El HaNe’eman,האל הנאמן,אל הנאמן,primary-biblical,biblical-divine-title,normalized-biblical-form,Deuteronomy 7:9,https://www.sefaria.org/Deuteronomy.7.9?lang=bi,האל הנאמן,correct-article,literal-heading,האלהנאמן,182,179,no,832,879,no,132,594,mispar-gadol,613,no,11,4,6,9,no,no,no,no,8-collapse (from standard 179 → 17 → 8),,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8
30,El HaGadol,האל הגדול,אל הגדול,primary-biblical,biblical-divine-title,normalized-biblical-form,Nehemiah 1:5,https://www.sefaria.org/Nehemiah.1.5?lang=bi,האל הגדול,correct-article,literal-heading,האלהגדול,84,74,no,84,74,no,70,70,mispar-gadol,62,no,12,12,7,7,no,no,no,no,8-collapse.,standard-collapse-12; mispar-collapse-12,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8
32,El HaKavod,אל הכבוד,אל הכבוד,primary-biblical,biblical-divine-title,exact-divine-use,Psalms 29:3,https://www.sefaria.org/Psalms.29.3?lang=bi,אל הכבוד,retain,literal-heading,אלהכבוד,68,69,no,68,69,no,58,58,mispar-gadol,59,no,5,5,4,4,no,no,no,no,Neutral.,,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch
35,Elohei Avraham,אלהי אברהם,אלוהי אברהם,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי אברהם,correct-orthography,literal-heading,אלהיאברהם,294,300,no,854,900,no,206,5B2,mispar-gadol,630,no,6,8,8,9,no,no,no,no,Neutral.,mispar-collapse-8; standard-base12-collapse-8,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch
36,Elohei Yitzchak,אלהי יצחק,אלוהי יצחק,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי יצחק,correct-orthography,literal-heading,אלהייצחק,254,260,no,254,1152,no,192,192,mispar-gadol,800,no,11,11,12,12,no,no,no,no,8-collapse.,standard-base12-collapse-12; mispar-base12-collapse-12,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch; claimed-8-collapse-without-computed-8
37,Elohei Yaakov,אלהי יעקב,אלוהי יעקב,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי יעקב,correct-orthography,literal-heading,אלהייעקב,228,234,no,228,234,no,170,170,mispar-gadol,176,no,12,12,8,8,no,no,no,no,Neutral.,standard-collapse-12; mispar-collapse-12; standard-base12-collapse-8; mispar-base12-collapse-8,standard-claim-mismatch; mispar-gadol-claim-mismatch; base12-claim-mismatch
38,The 42-Letter Name,שם בן מ״ב,שם בן מ״ב,kabbalistic-formula,kabbalistic-formula-label,formula-label,Kiddushin 71a:13,https://www.sefaria.org/Kiddushin.71a.13?lang=bi,שם בן ארבעים ושתים אותיות,separate-object,formula-not-in-heading,שםבןמב,434,3701,not compared,1644,5161,not compared,302,B50,mispar-gadol,2BA1,not compared,11,6,5,7,yes,no,no,no,Bridge/neutral.,standard-base10-palindrome,formula-not-in-heading
39,The 72Letter Name,"שם ע""ב","שם ע""ב",kabbalistic-formula,kabbalistic-formula-label,formula-label,Exodus 14:19-21 with Kabbalah,https://www.sefaria.org/Exodus.14.19-21?with=Kabbalah,"שם ע""ב",separate-object,canonical-constant-not-heading,שםעב,412,72,not compared,972,,,2A4,690,standard,60,not compared,7,9,7,6,no,no,no,no,Basemultiple cluster.,,canonical-constant-not-heading
40,AB,"ע""ב",אב,kabbalistic-expansion,kabbalistic-expansion-label,erroneous-displayed-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1",https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi,"ע""ב",correct-and-reclassify,expansion-label-not-name,עב,72,3,not compared,72,3,not compared,60,60,mispar-gadol,3,not compared,9,9,6,6,no,no,no,no,Basemultiple cluster.,standard-constant-72; mispar-constant-72,expansion-label-not-name
41,SAG,"ס""ג",ס״ג,kabbalistic-expansion,kabbalistic-expansion-label,conventional-expansion-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1",https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi,"ס""ג",reclassify,expansion-label-not-name,סג,63,63,not compared,63,,,53,53,standard,53,not compared,9,9,8,8,no,no,no,no,8-collapse,standard-base12-collapse-8; mispar-base12-collapse-8,expansion-label-not-name
42,MAH,"מ""ה",מ״ה,kabbalistic-expansion,kabbalistic-expansion-label,conventional-expansion-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1",https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi,"מ""ה",reclassify,expansion-label-not-name,מה,45,45,not compared,45,,,39,39,standard,39,not compared,9,9,12,12,no,no,no,no,12-collapse,standard-base12-collapse-12; mispar-base12-collapse-12,expansion-label-not-name
43,BEN,"ב""ן",ב״ן,kabbalistic-expansion,kabbalistic-expansion-label,conventional-expansion-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1",https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi,"ב""ן",reclassify,expansion-label-not-name,בן,52,52,not compared,702,,,44,4A6,standard,44,not compared,7,9,8,2,no,no,yes,no,8-collapse; Base12 palindrome,standard-base12-collapse-8; standard-base12-palindrome,expansion-label-not-name
