index,name,displayed_hebrew,analysis_hebrew,corpus_layer,object_class,attestation_status,representative_source,source_url,source_form,primary_biblical_inclusion,recommended_action,notes
1,El,אל,אל,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 34:6,https://www.sefaria.org/Exodus.34.6?lang=bi,אל,yes,retain,"The search token is also the preposition 'to'; inclusion rests on a contextually divine occurrence rather than raw string frequency."
2,Eloah,אלוה,אלוה,primary-biblical,biblical-divine-name,exact-divine-use,Deuteronomy 32:15,https://www.sefaria.org/Deuteronomy.32.15?lang=bi,אלוה,yes,retain,Exact consonantal form in divine use.
3,Elohim,אלהים,אלהים,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 1:1,https://www.sefaria.org/Genesis.1.1?lang=bi,אלהים,yes,retain,Exact consonantal form in divine use.
4,YHWH,יהוה,יהוה,primary-biblical,biblical-divine-name,exact-divine-use,Exodus 3:15,https://www.sefaria.org/Exodus.3.15?lang=bi,יהוה,yes,retain,Exact consonantal form in divine use.
5,Adonai,אדני,אדני,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 15:2,https://www.sefaria.org/Genesis.15.2?lang=bi,אדני,yes,retain,"The nun is medial, so Mispar Gadol does not assign it a final-letter value."
6,Shaddai,שדי,שדי,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,https://www.sefaria.org/Genesis.17.1?lang=bi,שדי,yes,retain,Exact form occurs within El Shaddai.
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,אהיה אשר אהיה,primary-biblical,biblical-divine-formula,exact-divine-use,Exodus 3:14,https://www.sefaria.org/Exodus.3.14?lang=bi,אהיה אשר אהיה,yes,retain,Exact full formula.
8,El Elyon,אל עליון,אל עליון,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 14:22,https://www.sefaria.org/Genesis.14.22?lang=bi,אל עליון,yes,retain,Exact phrase in explicit relation to YHWH.
9,El Olam,אל עולם,אל עולם,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 21:33,https://www.sefaria.org/Genesis.21.33?lang=bi,אל עולם,yes,retain,Exact phrase.
10,El Roi,אל ראי,אל ראי,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 16:13,https://www.sefaria.org/Genesis.16.13?lang=bi,אל ראי,yes,retain,Exact phrase.
11,El Gibbor,אל גבור,אל גבור,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 10:21,https://www.sefaria.org/Isaiah.10.21?lang=bi,אל גבור,yes,retain,Exact phrase in unambiguous divine use.
12,El Yeshuati,אל ישועתי,אל ישועתי,primary-biblical,biblical-divine-title,exact-divine-use,Isaiah 12:2,https://www.sefaria.org/Isaiah.12.2?lang=bi,אל ישועתי,yes,retain,Exact phrase.
13,Shekhinah,שכינה,שכינה,later-traditional,rabbinic-theological-term,later-exact-use,Pirkei Avot 3:6,https://www.sefaria.org/Pirkei_Avot.3.6?lang=bi,שכינה,no,separate-layer,"A Mishnah-era term for divine presence, not a Tanakh divine-name lexeme."
14,HaMakom,המקום,המקום,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Mishnah Sanhedrin 6:5,https://www.sefaria.org/Mishnah_Sanhedrin.6.5?lang=bi,המקום,no,separate-layer,"Tanakh occurrences usually mean 'the place'; the divine epithet is established by rabbinic context."
15,HaRachaman,הרחמן,הרחמן,later-traditional,liturgical-divine-epithet,later-exact-divine-use,"Birkat Hamazon, Hatov Vehametiv 2",https://www.sefaria.org/Birkat_Hamazon%2C_Hatov_Vehametiv.2?lang=bi,הרחמן,no,separate-layer,Representative liturgical attestation; no exact Tanakh occurrence was found.
16,HaKadosh Baruch Hu,הקדוש ברוך הוא,הקדוש ברוך הוא,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Pirkei Avot 3:2,https://www.sefaria.org/Pirkei_Avot.3.2?lang=bi,הקדוש ברוך הוא,no,separate-layer,Exact rabbinic formula; retain 655 for the displayed full form.
17,Ribbono Shel Olam,ריבונו של עולם,רבונו של עולם,later-traditional,rabbinic-address-formula,normalized-later-form,Menachot 29b:5,https://www.sefaria.org/Menachot.29b.5?lang=bi,רבונו של עולם,no,correct-and-separate,"The classical unpointed form lacks the inserted yod; use רבונו של עולם = 740 unless a specific plene source is selected in advance."
18,Yeshua,ישוע,ישוע,messianic-comparative,biblical-personal-name,exact-personal-name,Ezra 2:2,https://www.sefaria.org/Ezra.2.2?lang=bi,ישוע,no,separate-layer,"Exact biblical personal name, but its treatment as a divine designation depends on Christian theological interpretation."
19,Immanuel,עמנואל,עמנו אל,messianic-comparative,biblical-sign-name,normalized-biblical-form,Isaiah 7:14,https://www.sefaria.org/Isaiah.7.14?lang=bi,עמנו אל,no,correct-segmentation,"The Masoretic consonantal form is two words; segmentation does not change the gematria total."
20,Mashiach,משיח,משיח,messianic-comparative,biblical-royal-title,exact-nonexclusive-title,I Samuel 24:7,https://www.sefaria.org/I_Samuel.24.7?lang=bi,משיח,no,separate-layer,"The title applies to human anointed figures in Tanakh; divine status is a separate theological claim."
21,Sar Shalom,שר שלום,שר שלום,messianic-comparative,biblical-royal-title,exact-royal-title,Isaiah 9:5,https://www.sefaria.org/Isaiah.9.5?lang=bi,שר שלום,no,separate-layer,Exact phrase within the Isaianic throne-name sequence.
22,Adon,אדון,אדון,primary-biblical,biblical-divine-title,exact-divine-use,Joshua 3:11,https://www.sefaria.org/Joshua.3.11?lang=bi,אדון,yes,retain,Exact form in the title Adon kol ha-aretz.
23,Elohei HaShamayim,אלוהי השמים,אלהי השמים,primary-biblical,biblical-divine-title,normalized-biblical-form,Genesis 24:7,https://www.sefaria.org/Genesis.24.7?lang=bi,אלהי השמים,yes,correct-orthography,"The displayed plene אלוהי is not the cited biblical consonantal form; remove vav and recalculate."
24,Elohei HaAretz,אלוהי הארץ,אלהי הארץ,primary-biblical,biblical-divine-title,normalized-biblical-form,Genesis 24:3,https://www.sefaria.org/Genesis.24.3?lang=bi,אלהי הארץ,yes,correct-orthography,"The displayed plene אלוהי is not the cited biblical consonantal form; remove vav and recalculate."
25,El Shaddai,אל שדי,אל שדי,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 17:1,https://www.sefaria.org/Genesis.17.1?lang=bi,אל שדי,yes,retain,Exact phrase.
26,El Kana,אל קנא,אל קנא,primary-biblical,biblical-divine-title,exact-divine-use,Exodus 34:14,https://www.sefaria.org/Exodus.34.14?lang=bi,אל קנא,yes,retain,Exact phrase.
27,El De’ot,אל דעות,אל דעות,primary-biblical,biblical-divine-title,exact-divine-use,I Samuel 2:3,https://www.sefaria.org/I_Samuel.2.3?lang=bi,אל דעות,yes,retain,"Exact phrase; the last letter is tav, not final tsadi."
28,El Berit,אל ברית,אל ברית,foreign-deity-or-ambiguous,biblical-foreign-deity-title,exact-foreign-deity-use,Judges 9:46,https://www.sefaria.org/Judges.9.46?lang=bi,אל ברית,no,exclude-primary,The Judges context associates this title with the Shechem cult and does not securely identify it with YHWH.
29,El HaNe’eman,אל הנאמן,האל הנאמן,primary-biblical,biblical-divine-title,normalized-biblical-form,Deuteronomy 7:9,https://www.sefaria.org/Deuteronomy.7.9?lang=bi,האל הנאמן,yes,correct-article,"The cited phrase begins with האל; add the article and recalculate."
30,El HaGadol,אל הגדול,האל הגדול,primary-biblical,biblical-divine-title,normalized-biblical-form,Nehemiah 1:5,https://www.sefaria.org/Nehemiah.1.5?lang=bi,האל הגדול,yes,correct-article,"The exact phrase begins with האל; add the article and recalculate."
31,El HaNorah,אל הנורא,,constructed-or-false-match,constructed-divine-title,unattested-as-displayed,Nehemiah 9:32,https://www.sefaria.org/Nehemiah.9.32?lang=bi,האל הגדול הגבור והנורא,no,replace-or-exclude,"No exact Tanakh occurrence of אל הנורא was found; the attested adjective belongs to a longer formula, which would need to be admitted and valued as a different object."
32,El HaKavod,אל הכבוד,אל הכבוד,primary-biblical,biblical-divine-title,exact-divine-use,Psalms 29:3,https://www.sefaria.org/Psalms.29.3?lang=bi,אל הכבוד,yes,retain,Exact phrase.
33,El HaShamayim,אל השמים,,constructed-or-false-match,false-syntactic-match,false-positive-token-sequence,Psalms 50:4,https://www.sefaria.org/Psalms.50.4?lang=bi,אל השמים,no,exclude,"Here אל is the preposition 'to'; this is not a divine title."
34,El HaAretz,אל הארץ,,constructed-or-false-match,false-syntactic-match,false-positive-token-sequence,Genesis 24:5,https://www.sefaria.org/Genesis.24.5?lang=bi,אל הארץ,no,exclude,"Here אל is the preposition 'to'; this is not a divine title."
35,Elohei Avraham,אלוהי אברהם,אלהי אברהם,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי אברהם,yes,correct-orthography,"The displayed plene אלוהי is not the cited biblical consonantal form; remove vav and recalculate."
36,Elohei Yitzchak,אלוהי יצחק,אלהי יצחק,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי יצחק,yes,correct-orthography,"The displayed plene אלוהי is not the cited biblical consonantal form; remove vav and recalculate."
37,Elohei Yaakov,אלוהי יעקב,אלהי יעקב,primary-biblical,biblical-divine-title,normalized-biblical-form,Exodus 3:6,https://www.sefaria.org/Exodus.3.6?lang=bi,אלהי יעקב,yes,correct-orthography,"The displayed plene אלוהי is not the cited biblical consonantal form; remove vav and recalculate."
38,The 42-Letter Name,שם בן מ״ב,שם בן מ״ב,kabbalistic-formula,kabbalistic-formula-label,formula-label,Kiddushin 71a:13,https://www.sefaria.org/Kiddushin.71a.13?lang=bi,שם בן ארבעים ושתים אותיות,no,separate-object,"The row values a descriptive label, not the forty-two-letter formula itself."
39,The 72Letter Name,"שם ע""ב","שם ע""ב",kabbalistic-formula,kabbalistic-formula-label,formula-label,Exodus 14:19-21 with Kabbalah,https://www.sefaria.org/Exodus.14.19-21?with=Kabbalah,"שם ע""ב",no,separate-object,"The row values a traditional label, not the seventy-two triplets or their source verses."
40,AB,אב,"ע""ב",kabbalistic-expansion,kabbalistic-expansion-label,erroneous-displayed-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1","https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi","ע""ב",no,correct-and-reclassify,"אב = 3 is not the intended 72 designation; use ע""ב and exclude all four expansion abbreviations from literal-name counts."
41,SAG,ס״ג,"ס""ג",kabbalistic-expansion,kabbalistic-expansion-label,conventional-expansion-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1","https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi","ס""ג",no,reclassify,"A value-bearing abbreviation for a YHWH filling, not an independently selected literal name."
42,MAH,מ״ה,"מ""ה",kabbalistic-expansion,kabbalistic-expansion-label,conventional-expansion-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1","https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi","מ""ה",no,reclassify,"A value-bearing abbreviation for a YHWH filling, not an independently selected literal name."
43,BEN,ב״ן,"ב""ן",kabbalistic-expansion,kabbalistic-expansion-label,conventional-expansion-label,"Sha'ar HaHakdamot, Zeir Anpin and Nukba 18:1","https://www.sefaria.org/Sha'ar_HaHakdamot%2C_Zeir_Anpin_and_Nukba.18.1?lang=bi","ב""ן",no,reclassify,"A value-bearing abbreviation for a YHWH filling, not an independently selected literal name."
