expression_key,name,hebrew,layers,object_classes,attestation_statuses,representative_sources,source_records,basis,value,base12,center_digit,center_value,outer_frame,outer_frame_value,base10_digital_root,base12_digit_sum,self_center_match,named_frame_match,framed_expressions
melekh haolam|מלך העולם,Melekh HaOlam,מלך העולם,later-traditional-expansion,liturgical-divine-title,later-exact,Siddur blessing formula,expansion:74,standard,241,181,8,8,11,13,7,10,no,no,
haroeh hatov defective|הרעה הטוב,HaRoeh HaTov defective,הרעה הטוב,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,John 10 Delitzsch Hebrew,expansion:70,standard,302,212,1,1,22,26,5,5,no,yes,YHWH
haroeh hatov defective|הרעה הטוב,HaRoeh HaTov defective,הרעה הטוב,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,John 10 Delitzsch Hebrew,expansion:70,mispar-gadol,302,212,1,1,22,26,5,5,no,yes,YHWH
shaddai|שדי,Shaddai,שדי,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,manuscript:6,standard,314,222,2,2,22,26,8,6,no,yes,YHWH
shaddai|שדי,Shaddai,שדי,primary-biblical,biblical-divine-name,exact-divine-use,Genesis 17:1,manuscript:6,mispar-gadol,314,222,2,2,22,26,8,6,no,yes,YHWH
yeshua|ישוע,Yeshua,ישוע,messianic-comparative,biblical-personal-name,exact-personal-name,Ezra 2:2,manuscript:18,standard,386,282,8,8,22,26,8,12,yes,yes,YHWH
yeshua|ישוע,Yeshua,ישוע,messianic-comparative,biblical-personal-name,exact-personal-name,Ezra 2:2,manuscript:18,mispar-gadol,386,282,8,8,22,26,8,12,yes,yes,YHWH
qadosh|קדוש,Qadosh,קדוש,primary-biblical-expansion,biblical-divine-title,exact,Isaiah 40:25,expansion:16,standard,410,2A2,A,10,22,26,5,14,no,yes,YHWH
qadosh|קדוש,Qadosh,קדוש,primary-biblical-expansion,biblical-divine-title,exact,Isaiah 40:25,expansion:16,mispar-gadol,410,2A2,A,10,22,26,5,14,no,yes,YHWH
ehyeh asher ehyeh|אהיה אשר אהיה,Ehyeh Asher Ehyeh,אהיה אשר אהיה,primary-biblical,biblical-divine-formula,exact-divine-use,Exodus 3:14,manuscript:7,standard,543,393,9,9,33,39,3,15,no,yes,YHWH Echad
ehyeh asher ehyeh|אהיה אשר אהיה,Ehyeh Asher Ehyeh,אהיה אשר אהיה,primary-biblical,biblical-divine-formula,exact-divine-use,Exodus 3:14,manuscript:7,mispar-gadol,543,393,9,9,33,39,3,15,no,yes,YHWH Echad
kedosh yaakov|קדוש יעקב,Kedosh Yaakov,קדוש יעקב,primary-biblical-expansion,biblical-divine-title,exact,Isaiah 29:23,expansion:18,standard,592,414,1,1,44,52,7,9,no,yes,BEN
kedosh yaakov|קדוש יעקב,Kedosh Yaakov,קדוש יעקב,primary-biblical-expansion,biblical-divine-title,exact,Isaiah 29:23,expansion:18,mispar-gadol,592,414,1,1,44,52,7,9,no,no,
yhwh tzevaot hu melekh hakavod|יהוה צבאות הוא מלך הכבוד,YHWH Tzevaot Hu Melekh HaKavod,יהוה צבאות הוא מלך הכבוד,primary-biblical-expansion,biblical-identity-formula,exact,Psalms 24:10,expansion:28,standard,664,474,7,7,44,52,7,15,yes,yes,BEN
el olam|אל עולם,El Olam,אל עולם,primary-biblical,biblical-divine-title,exact-divine-use,Genesis 21:33,manuscript:9,mispar-gadol,737,515,1,1,55,65,8,11,no,yes,Adonai
yeshua hamashiach|ישוע המשיח,Yeshua HaMashiach,ישוע המשיח,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,Matthew 1:1 Biblica Hebrew translation,expansion:61,standard,749,525,2,2,55,65,2,12,yes,yes,Adonai
yeshua hamashiach|ישוע המשיח,Yeshua HaMashiach,ישוע המשיח,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,Matthew 1:1 Biblica Hebrew translation,expansion:61,mispar-gadol,749,525,2,2,55,65,2,12,yes,yes,Adonai
avinu shebashamayim|אבינו שבשמים,Avinu Shebashamayim,אבינו שבשמים,later-traditional-expansion,rabbinic-divine-title,later-exact,Mishnah Sotah 9:15,expansion:77,standard,761,535,3,3,55,65,5,13,no,yes,Adonai
davar haelohim defective|דבר האלהים,Davar HaElohim defective,דבר האלהים,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,Revelation 19 Delitzsch Hebrew,expansion:66,mispar-gadol,857,5B5,B,11,55,65,2,21,no,yes,Adonai
adoneinu yeshua hamashiach defective|אדנינו ישוע המשיח,Adoneinu Yeshua HaMashiach defective,אדנינו ישוע המשיח,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,I Corinthians 1 Delitzsch Hebrew,expansion:62,standard,870,606,0,0,66,78,6,12,no,no,
adoneinu yeshua hamashiach defective|אדנינו ישוע המשיח,Adoneinu Yeshua HaMashiach defective,אדנינו ישוע המשיח,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,I Corinthians 1 Delitzsch Hebrew,expansion:62,mispar-gadol,870,606,0,0,66,78,6,12,no,no,
or haolam|אור העולם,Or HaOlam,אור העולם,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,John 8:12 Hebrew translation,expansion:68,mispar-gadol,918,646,4,4,66,78,9,16,no,no,
el elyon qoneh shamayim vaaretz|אל עליון קנה שמים וארץ,El Elyon Qoneh Shamayim VaAretz,אל עליון קנה שמים וארץ,primary-biblical-expansion,biblical-divine-title,exact,Genesis 14:19,expansion:10,standard,1039,727,2,2,77,91,4,16,no,yes,Adonai YHWH; Amen lexical form
shomer yisrael|שומר ישראל,Shomer Yisrael,שומר ישראל,primary-biblical-expansion,biblical-divine-title,exact,Psalms 121:4,expansion:24,standard,1087,767,6,6,77,91,7,20,no,yes,Adonai YHWH; Amen lexical form
shomer yisrael|שומר ישראל,Shomer Yisrael,שומר ישראל,primary-biblical-expansion,biblical-divine-title,exact,Psalms 121:4,expansion:24,mispar-gadol,1087,767,6,6,77,91,7,20,no,yes,Adonai YHWH
melekh yisrael|מלך ישראל,Melekh Yisrael,מלך ישראל,primary-biblical-expansion,biblical-divine-title,exact,Isaiah 44:6,expansion:25,mispar-gadol,1111,787,8,8,77,91,4,22,no,yes,Adonai YHWH
hakadosh baruch hu|הקדוש ברוך הוא,HaKadosh Baruch Hu,הקדוש ברוך הוא,later-traditional,rabbinic-divine-epithet,later-exact-divine-use,Pirkei Avot 3:2,manuscript:16,mispar-gadol,1135,7A7,A,10,77,91,1,24,no,yes,Adonai YHWH
qudsha berikh hu|קודשא בריך הוא,Qudsha Berikh Hu,קודשא בריך הוא,later-traditional-expansion,aramaic-divine-epithet,later-exact,"Zohar, Vayikra 16:104",expansion:81,mispar-gadol,1135,7A7,A,10,77,91,1,24,no,yes,Adonai YHWH
eben yisrael|אבן ישראל,Eben Yisrael,אבן ישראל,primary-biblical-expansion,biblical-metaphorical-title,exact-context-review,Genesis 49:24,expansion:22,mispar-gadol,1244,878,7,7,88,104,2,23,no,no,
ben haelohim defective|בן האלהים,Ben HaElohim defective,בן האלהים,christian-comparative-expansion,christian-hebrew-divine-title,translation-attested,I John 5 Delitzsch Hebrew,expansion:64,mispar-gadol,1353,949,4,4,99,117,3,22,no,no,
