basis,reference,position,phrase,word_lengths,total_letters,final_form_count,value,base12,visible_square_root
standard,1Chr.1.36,6,וגעתם קנז,5-3,8,1,676,484,22
mispar-gadol,1Chr.3.1,7,לו בחברון,2-6,8,1,954,676,26
mispar-gadol,1Chr.3.4,3,לו בחברון,2-6,8,1,954,676,26
standard,1Chr.5.15,2,בן עבדיאל,2-6,8,1,169,121,11
standard,1Chr.5.15,3,עבדיאל בן,6-2,8,1,169,121,11
standard,1Chr.7.17,5,בני גלעד,3-4,7,0,169,121,11
mispar-gadol,1Chr.7.17,5,בני גלעד,3-4,7,0,169,121,11
standard,1Chr.7.39,1,ובני עלא,4-3,7,0,169,121,11
mispar-gadol,1Chr.7.39,1,ובני עלא,4-3,7,0,169,121,11
mispar-gadol,1Chr.9.25,2,בחצריהם לבוא,7-4,11,1,954,676,26
standard,1Chr.10.4,22,מאד ויקח,3-4,7,0,169,121,11
mispar-gadol,1Chr.10.4,22,מאד ויקח,3-4,7,0,169,121,11
standard,1Chr.10.5,7,ויפל גם,4-2,6,1,169,121,11
standard,1Chr.12.38,12,מלחמה מאה,5-3,8,0,169,121,11
mispar-gadol,1Chr.12.38,12,מלחמה מאה,5-3,8,0,169,121,11
standard,1Chr.13.1,4,שרי האלפים,3-6,9,1,676,484,22
standard,1Chr.13.2,4,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Chr.13.2,4,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Chr.15.1,9,האלהים ויט,6-3,9,1,676,484,22
standard,1Chr.17.17,11,כתור האדם,4-4,8,1,676,484,22
mispar-gadol,1Chr.17.23,6,על עבדך,2-4,6,1,676,484,22
mispar-gadol,1Chr.17.26,7,על עבדך,2-4,6,1,676,484,22
mispar-gadol,1Chr.19.14,7,ארם למלחמה,3-6,9,1,954,676,26
standard,1Chr.19.16,3,כי נגפו,2-4,6,0,169,121,11
mispar-gadol,1Chr.19.16,3,כי נגפו,2-4,6,0,169,121,11
standard,1Chr.19.19,4,כי נגפו,2-4,6,0,169,121,11
mispar-gadol,1Chr.19.19,4,כי נגפו,2-4,6,0,169,121,11
standard,1Chr.21.17,28,ובעמך לא,5-2,7,1,169,121,11
mispar-gadol,1Chr.21.30,7,אלהים כי,5-2,7,1,676,484,22
mispar-gadol,1Chr.22.16,1,לזהב לכסף,4-4,8,1,954,676,26
standard,1Chr.22.18,5,והניח לכם,5-3,8,1,169,121,11
standard,1Chr.23.4,9,אלף ושטרים,3-6,9,2,676,484,22
standard,1Chr.23.6,3,מחלקות לבני,6-4,10,0,676,484,22
mispar-gadol,1Chr.23.6,3,מחלקות לבני,6-4,10,0,676,484,22
standard,1Chr.26.26,13,האבות לשרי,5-4,9,0,954,676,26
mispar-gadol,1Chr.26.26,13,האבות לשרי,5-4,9,0,954,676,26
standard,1Chr.28.8,4,ישראל קהל,5-3,8,0,676,484,22
mispar-gadol,1Chr.28.8,4,ישראל קהל,5-3,8,0,676,484,22
standard,1Chr.29.2,19,אבני פוך,4-3,7,1,169,121,11
standard,1Chr.29.15,4,לפניך ותושבים,5-7,12,2,954,676,26
standard,1Kgs.1.4,2,יפה עד,3-2,5,0,169,121,11
mispar-gadol,1Kgs.1.4,2,יפה עד,3-2,5,0,169,121,11
standard,1Kgs.1.51,2,לשלמה לאמר,5-4,9,0,676,484,22
mispar-gadol,1Kgs.1.51,2,לשלמה לאמר,5-4,9,0,676,484,22
mispar-gadol,1Kgs.1.51,16,לי כיום,2-4,6,1,676,484,22
mispar-gadol,1Kgs.2.8,1,והנה עמך,4-3,7,1,676,484,22
standard,1Kgs.2.31,15,יואב מעלי,4-4,8,0,169,121,11
mispar-gadol,1Kgs.2.31,15,יואב מעלי,4-4,8,0,169,121,11
mispar-gadol,1Kgs.2.40,6,וילך גתה,4-3,7,1,954,676,26
standard,1Kgs.4.19,10,ועג מלך,3-3,6,1,169,121,11
mispar-gadol,1Kgs.5.11,13,בכל הגוים,3-5,8,1,676,484,22
mispar-gadol,1Kgs.5.15,13,משחו למלך,4-4,8,1,954,676,26
standard,1Kgs.6.5,10,סביב להיכל,4-5,9,0,169,121,11
mispar-gadol,1Kgs.6.5,10,סביב להיכל,4-5,9,0,169,121,11
standard,1Kgs.6.24,15,ועד קצות,3-4,7,0,676,484,22
mispar-gadol,1Kgs.6.24,15,ועד קצות,3-4,7,0,676,484,22
standard,1Kgs.7.7,1,ואולם הכסא,5-4,9,1,169,121,11
standard,1Kgs.7.17,10,ראש העמודים,3-7,10,1,676,484,22
standard,1Kgs.7.19,4,ראש העמודים,3-7,10,1,676,484,22
standard,1Kgs.7.22,2,ראש העמודים,3-7,10,1,676,484,22
standard,1Kgs.7.41,19,ראש העמודים,3-7,10,1,676,484,22
standard,1Kgs.8.14,8,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Kgs.8.14,8,קהל ישראל,3-5,8,0,676,484,22
standard,1Kgs.8.14,11,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Kgs.8.14,11,קהל ישראל,3-5,8,0,676,484,22
standard,1Kgs.8.22,8,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Kgs.8.22,8,קהל ישראל,3-5,8,0,676,484,22
standard,1Kgs.8.28,15,עבדך מתפלל,4-5,9,1,676,484,22
standard,1Kgs.8.30,3,תחנת עבדך,4-4,8,1,954,676,26
standard,1Kgs.8.36,9,כי תורם,2-4,6,1,676,484,22
standard,1Kgs.8.52,5,תחנת עבדך,4-4,8,1,954,676,26
standard,1Kgs.8.55,5,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Kgs.8.55,5,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Kgs.9.28,4,משם זהב,3-3,6,1,954,676,26
standard,1Kgs.11.18,2,ממדין ויבאו,5-5,10,1,169,121,11
standard,1Kgs.12.1,8,ישראל להמליך,5-6,11,1,676,484,22
standard,1Kgs.12.3,7,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,1Kgs.12.3,7,קהל ישראל,3-5,8,0,676,484,22
standard,1Kgs.12.32,29,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,1Kgs.12.32,29,הבמות אשר,5-3,8,0,954,676,26
standard,1Kgs.13.4,14,וישלח ירבעם,5-5,10,1,676,484,22
standard,1Kgs.13.32,17,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,1Kgs.13.32,17,הבמות אשר,5-3,8,0,954,676,26
standard,1Kgs.15.22,14,עציה אשר,4-3,7,0,676,484,22
mispar-gadol,1Kgs.15.22,14,עציה אשר,4-3,7,0,676,484,22
standard,1Kgs.17.10,17,קחי נא,3-2,5,0,169,121,11
mispar-gadol,1Kgs.17.10,17,קחי נא,3-2,5,0,169,121,11
standard,1Kgs.17.17,11,חליו חזק,4-3,7,0,169,121,11
mispar-gadol,1Kgs.17.17,11,חליו חזק,4-3,7,0,169,121,11
mispar-gadol,1Kgs.18.27,10,כי אלהים,2-5,7,1,676,484,22
mispar-gadol,1Kgs.18.28,8,עד שפך,2-3,5,1,954,676,26
standard,1Kgs.18.35,2,המים סביב,4-4,8,1,169,121,11
standard,1Kgs.19.11,11,גדולה וחזק,5-4,9,0,169,121,11
mispar-gadol,1Kgs.19.11,11,גדולה וחזק,5-4,9,0,169,121,11
mispar-gadol,1Kgs.20.34,7,מאת אביך,3-4,7,1,954,676,26
standard,1Kgs.21.6,14,בכסף או,4-2,6,1,169,121,11
standard,1Kgs.22.1,1,וישבו שלש,5-3,8,0,954,676,26
mispar-gadol,1Kgs.22.1,1,וישבו שלש,5-3,8,0,954,676,26
standard,1Kgs.22.3,13,מקחת אתה,4-3,7,0,954,676,26
mispar-gadol,1Kgs.22.3,13,מקחת אתה,4-3,7,0,954,676,26
mispar-gadol,1Kgs.22.15,7,מיכיהו הנלך,6-4,10,1,676,484,22
standard,1Kgs.22.16,3,המלך עד,4-2,6,1,169,121,11
mispar-gadol,1Kgs.22.44,1,אך הבמות,2-5,7,1,954,676,26
mispar-gadol,1Sam.1.23,7,בעיניך שבי,6-3,9,1,954,676,26
standard,1Sam.2.20,6,אשתו ואמר,4-4,8,0,954,676,26
mispar-gadol,1Sam.2.20,6,אשתו ואמר,4-4,8,0,954,676,26
standard,1Sam.2.36,7,לו לאגורת,2-6,8,0,676,484,22
mispar-gadol,1Sam.2.36,7,לו לאגורת,2-6,8,0,676,484,22
standard,1Sam.5.7,2,אנשי אשדוד,4-5,9,0,676,484,22
mispar-gadol,1Sam.5.7,2,אנשי אשדוד,4-5,9,0,676,484,22
standard,1Sam.5.7,17,ועל דגון,3-4,7,1,169,121,11
standard,1Sam.7.14,14,הציל ישראל,4-5,9,0,676,484,22
mispar-gadol,1Sam.7.14,14,הציל ישראל,4-5,9,0,676,484,22
standard,1Sam.10.26,7,עמו החיל,3-4,7,0,169,121,11
mispar-gadol,1Sam.10.26,7,עמו החיל,3-4,7,0,169,121,11
standard,1Sam.12.12,6,עמון בא,4-2,6,1,169,121,11
standard,1Sam.12.15,3,תשמעו בקול,5-4,9,0,954,676,26
mispar-gadol,1Sam.12.15,3,תשמעו בקול,5-4,9,0,954,676,26
standard,1Sam.12.21,8,יועילו ולא,6-3,9,0,169,121,11
mispar-gadol,1Sam.12.21,8,יועילו ולא,6-3,9,0,169,121,11
standard,1Sam.13.18,5,בית חרון,3-4,7,1,676,484,22
standard,1Sam.14.1,8,הנער נשא,4-3,7,0,676,484,22
mispar-gadol,1Sam.14.1,8,הנער נשא,4-3,7,0,676,484,22
standard,1Sam.14.6,4,הנער נשא,4-3,7,0,676,484,22
mispar-gadol,1Sam.14.6,4,הנער נשא,4-3,7,0,676,484,22
standard,1Sam.14.24,21,טעם כל,3-2,5,1,169,121,11
standard,1Sam.15.6,7,רדו מתוך,3-4,7,1,676,484,22
standard,1Sam.17.13,15,במלחמה אליאב,6-5,11,0,169,121,11
mispar-gadol,1Sam.17.13,15,במלחמה אליאב,6-5,11,0,169,121,11
mispar-gadol,1Sam.20.3,22,וחי נפשך,3-4,7,1,954,676,26
mispar-gadol,1Sam.20.8,3,על עבדך,2-4,6,1,676,484,22
standard,1Sam.20.9,14,לבוא עליך,4-4,8,1,169,121,11
standard,1Sam.20.33,12,מעם אביו,3-4,7,1,169,121,11
mispar-gadol,1Sam.21.5,7,לחם חל,3-2,5,1,676,484,22
mispar-gadol,1Sam.22.1,2,דוד משם,3-3,6,1,954,676,26
mispar-gadol,1Sam.22.3,2,דוד משם,3-3,6,1,954,676,26
mispar-gadol,1Sam.24.1,2,דוד משם,3-3,6,1,954,676,26
mispar-gadol,1Sam.24.12,7,מעילך בידי,5-4,9,1,676,484,22
mispar-gadol,1Sam.25.19,5,הנני אחריכם,4-6,10,1,954,676,26
mispar-gadol,1Sam.25.26,5,וחי נפשך,3-4,7,1,954,676,26
standard,1Sam.28.22,17,תלך בדרך,3-4,7,2,676,484,22
standard,1Sam.31.4,22,מאד ויקח,3-4,7,0,169,121,11
mispar-gadol,1Sam.31.4,22,מאד ויקח,3-4,7,0,169,121,11
standard,1Sam.31.5,7,ויפל גם,4-2,6,1,169,121,11
mispar-gadol,2Chr.3.14,9,עליו כרובים,4-6,10,1,954,676,26
standard,2Chr.3.15,13,ראשו אמות,4-4,8,0,954,676,26
mispar-gadol,2Chr.3.15,13,ראשו אמות,4-4,8,0,954,676,26
standard,2Chr.3.17,8,מימין ואחד,5-4,9,1,169,121,11
mispar-gadol,2Chr.4.6,16,והים לרחצה,4-5,9,1,954,676,26
standard,2Chr.4.12,6,ראש העמודים,3-7,10,1,676,484,22
standard,2Chr.4.12,18,ראש העמודים,3-7,10,1,676,484,22
standard,2Chr.6.3,8,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,2Chr.6.3,8,קהל ישראל,3-5,8,0,676,484,22
standard,2Chr.6.3,11,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,2Chr.6.3,11,קהל ישראל,3-5,8,0,676,484,22
standard,2Chr.6.12,7,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,2Chr.6.12,7,קהל ישראל,3-5,8,0,676,484,22
standard,2Chr.6.13,25,קהל ישראל,3-5,8,0,676,484,22
mispar-gadol,2Chr.6.13,25,קהל ישראל,3-5,8,0,676,484,22
standard,2Chr.6.19,15,עבדך מתפלל,4-5,9,1,676,484,22
standard,2Chr.6.27,9,כי תורם,2-4,6,1,676,484,22
mispar-gadol,2Chr.6.36,16,שוביהם אל,6-2,8,1,954,676,26
mispar-gadol,2Chr.7.1,9,והזבחים וכבוד,7-5,12,1,676,484,22
standard,2Chr.7.2,3,הכהנים לבוא,6-4,10,1,169,121,11
standard,2Chr.10.1,8,ישראל להמליך,5-6,11,1,676,484,22
standard,2Chr.11.21,17,ויולד עשרים,5-5,10,1,676,484,22
standard,2Chr.13.21,8,ויולד עשרים,5-5,10,1,676,484,22
standard,2Chr.14.9,1,ויצא אסא,4-3,7,0,169,121,11
mispar-gadol,2Chr.14.9,1,ויצא אסא,4-3,7,0,169,121,11
mispar-gadol,2Chr.15.6,6,כי אלהים,2-5,7,1,676,484,22
standard,2Chr.16.2,1,ויצא אסא,4-3,7,0,169,121,11
mispar-gadol,2Chr.16.2,1,ויצא אסא,4-3,7,0,169,121,11
standard,2Chr.16.6,12,עציה אשר,4-3,7,0,676,484,22
mispar-gadol,2Chr.16.6,12,עציה אשר,4-3,7,0,676,484,22
standard,2Chr.17.6,6,הסיר את,4-2,6,0,676,484,22
mispar-gadol,2Chr.17.6,6,הסיר את,4-2,6,0,676,484,22
standard,2Chr.18.15,3,המלך עד,4-2,6,1,169,121,11
standard,2Chr.19.11,4,הראש עליכם,4-5,9,1,676,484,22
standard,2Chr.20.12,17,נדע מה,3-2,5,0,169,121,11
mispar-gadol,2Chr.20.12,17,נדע מה,3-2,5,0,169,121,11
mispar-gadol,2Chr.20.15,11,יהוה לכם,4-3,7,1,676,484,22
mispar-gadol,2Chr.20.33,1,אך הבמות,2-5,7,1,954,676,26
standard,2Chr.21.3,3,אביהם מתנות,5-5,10,1,954,676,26
standard,2Chr.21.18,7,לחלי לאין,4-4,8,1,169,121,11
standard,2Chr.23.7,4,המלך סביב,4-4,8,1,169,121,11
standard,2Chr.23.10,18,המלך סביב,4-4,8,1,169,121,11
mispar-gadol,2Chr.25.8,14,כח באלהים,2-6,8,1,676,484,22
standard,2Chr.26.3,15,מן ירושלם,2-6,8,2,676,484,22
standard,2Chr.26.9,8,ועל שער,3-3,6,0,676,484,22
mispar-gadol,2Chr.26.9,8,ועל שער,3-3,6,0,676,484,22
standard,2Chr.28.6,8,אלף ביום,3-4,7,2,169,121,11
standard,2Chr.28.6,13,חיל בעזבם,3-5,8,1,169,121,11
mispar-gadol,2Chr.28.15,27,אחיהם וישובו,5-6,11,1,954,676,26
mispar-gadol,2Chr.29.17,9,באו לאולם,3-5,8,1,676,484,22
mispar-gadol,2Chr.29.22,12,הדם המזבחה,3-6,9,1,676,484,22
mispar-gadol,2Chr.29.22,17,הדם המזבחה,3-6,9,1,676,484,22
standard,2Chr.30.1,17,לעשות פסח,5-3,8,0,954,676,26
mispar-gadol,2Chr.30.1,17,לעשות פסח,5-3,8,0,954,676,26
standard,2Chr.30.5,12,לעשות פסח,5-3,8,0,954,676,26
mispar-gadol,2Chr.30.5,12,לעשות פסח,5-3,8,0,954,676,26
standard,2Chr.32.12,4,הסיר את,4-2,6,0,676,484,22
mispar-gadol,2Chr.32.12,4,הסיר את,4-2,6,0,676,484,22
standard,2Chr.33.3,4,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,2Chr.33.3,4,הבמות אשר,5-3,8,0,954,676,26
standard,2Chr.34.4,7,אשר למעלה,3-5,8,0,676,484,22
mispar-gadol,2Chr.34.4,7,אשר למעלה,3-5,8,0,676,484,22
standard,2Chr.35.21,20,לבהלני חדל,6-3,9,0,169,121,11
mispar-gadol,2Chr.35.21,20,לבהלני חדל,6-3,9,0,169,121,11
standard,2Chr.36.8,17,יהויכין בנו,7-3,10,1,169,121,11
standard,2Chr.36.16,10,עלות חמת,4-3,7,0,954,676,26
mispar-gadol,2Chr.36.16,10,עלות חמת,4-3,7,0,954,676,26
mispar-gadol,2Kgs.1.11,12,האלהים כה,6-2,8,1,676,484,22
mispar-gadol,2Kgs.2.2,18,וחי נפשך,3-4,7,1,954,676,26
mispar-gadol,2Kgs.2.4,15,וחי נפשך,3-4,7,1,954,676,26
mispar-gadol,2Kgs.2.6,14,וחי נפשך,3-4,7,1,954,676,26
standard,2Kgs.2.22,2,המים עד,4-2,6,1,169,121,11
standard,2Kgs.3.15,4,מנגן והיה,4-4,8,1,169,121,11
mispar-gadol,2Kgs.4.10,8,שם מטה,2-3,5,1,954,676,26
mispar-gadol,2Kgs.4.30,6,וחי נפשך,3-4,7,1,954,676,26
standard,2Kgs.4.42,7,האלהים לחם,6-3,9,2,169,121,11
standard,2Kgs.5.23,5,ככרים ויפרץ,5-5,10,2,676,484,22
standard,2Kgs.6.12,3,מעבדיו לוא,6-3,9,0,169,121,11
mispar-gadol,2Kgs.6.12,3,מעבדיו לוא,6-3,9,0,169,121,11
standard,2Kgs.11.8,3,המלך סביב,4-4,8,1,169,121,11
standard,2Kgs.11.11,16,המלך סביב,4-4,8,1,169,121,11
standard,2Kgs.13.15,5,קשת וחצים,3-5,8,1,954,676,26
standard,2Kgs.13.15,9,קשת וחצים,3-5,8,1,954,676,26
standard,2Kgs.14.2,15,מן ירושלם,2-6,8,2,676,484,22
standard,2Kgs.14.9,1,וישלח יהואש,5-5,10,0,676,484,22
mispar-gadol,2Kgs.14.9,1,וישלח יהואש,5-5,10,0,676,484,22
mispar-gadol,2Kgs.15.12,9,בני רביעים,3-6,9,1,954,676,26
mispar-gadol,2Kgs.16.8,13,וישלח למלך,5-4,9,1,954,676,26
mispar-gadol,2Kgs.16.16,6,צוה המלך,3-4,7,1,676,484,22
standard,2Kgs.17.28,6,משמרון וישב,6-4,10,1,954,676,26
standard,2Kgs.17.29,8,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,2Kgs.17.29,8,הבמות אשר,5-3,8,0,954,676,26
standard,2Kgs.17.41,10,עבדים גם,5-2,7,2,169,121,11
standard,2Kgs.18.4,2,הסיר את,4-2,6,0,676,484,22
mispar-gadol,2Kgs.18.4,2,הסיר את,4-2,6,0,676,484,22
standard,2Kgs.18.16,11,אשר צפה,3-3,6,0,676,484,22
mispar-gadol,2Kgs.18.16,11,אשר צפה,3-3,6,0,676,484,22
mispar-gadol,2Kgs.19.18,3,אלהיהם באש,6-3,9,1,954,676,26
standard,2Kgs.19.27,6,התרגזך אלי,6-3,9,1,676,484,22
standard,2Kgs.19.28,2,התרגזך אלי,6-3,9,1,676,484,22
standard,2Kgs.21.3,4,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,2Kgs.21.3,4,הבמות אשר,5-3,8,0,954,676,26
standard,2Kgs.21.9,6,את הרע,2-3,5,0,676,484,22
mispar-gadol,2Kgs.21.9,6,את הרע,2-3,5,0,676,484,22
standard,2Kgs.21.15,4,את הרע,2-3,5,0,676,484,22
mispar-gadol,2Kgs.21.15,4,את הרע,2-3,5,0,676,484,22
standard,2Kgs.23.8,9,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,2Kgs.23.8,9,הבמות אשר,5-3,8,0,954,676,26
standard,2Kgs.23.13,2,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,2Kgs.23.13,2,הבמות אשר,5-3,8,0,954,676,26
standard,2Kgs.23.19,5,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,2Kgs.23.19,5,הבמות אשר,5-3,8,0,954,676,26
standard,2Kgs.23.20,5,הבמות אשר,5-3,8,0,954,676,26
mispar-gadol,2Kgs.23.20,5,הבמות אשר,5-3,8,0,954,676,26
standard,2Kgs.24.6,6,יהויכין בנו,7-3,10,1,169,121,11
standard,2Kgs.25.17,12,שלש אמה,3-3,6,0,676,484,22
mispar-gadol,2Kgs.25.17,12,שלש אמה,3-3,6,0,676,484,22
standard,2Sam.2.15,2,ויעברו במספר,6-5,11,0,676,484,22
mispar-gadol,2Sam.2.15,2,ויעברו במספר,6-5,11,0,676,484,22
